year,hires,terminations,net_change,net_change_percent
2005,220,31,189,14.0909
2006,1122,203,919,18.0927
2007,1067,174,893,16.3074
2008,1142,199,943,17.4256
2009,1135,202,933,17.7974
2010,1097,178,919,16.2261
2011,1118,182,936,16.2791
2012,1090,149,941,13.6697
2013,1108,144,964,12.9964
2014,1140,155,985,13.5965
2015,1099,130,969,11.8289
2016,1101,114,987,10.3542
2017,1103,110,993,9.9728
2018,1105,97,1008,8.7783
2019,1053,90,963,8.547
2020,1059,79,980,7.4599
2021,1122,69,1053,6.1497
2022,1091,56,1035,5.1329
2023,1147,50,1097,4.3592
2024,1083,51,1032,4.7091
2025,1012,27,985,2.668
